chebi_id,InChIKey
6307,BGWGXPAPYGQALX-JMSAOHGTSA-N
6359,JCQLYHFGKNRPGE-FCVZTGTOSA-N
6438,IXHBTMCLRNMKHZ-LBPRGKRZSA-N
6439,DNTDOBSIBZKFCP-YDALLXLXSA-N
6498,IXAQOQZEOGMIQS-SSQFXEBMSA-N
6541,PSIFNNKUMBGKDQ-UHFFFAOYSA-N
6572,LJJHXRRUVASJDX-WWQRDVDESA-N
6605,VAYOSLLFUXYJDT-RDTXWAMCSA-N
6715,FRQMUZJSZHZSGN-HBNHAYAOSA-N
6770,CTUAQTBUVLKNDJ-OBZXMJSBSA-N
6794,WXFIGDLSSYIKKV-RCOVLWMOSA-N
6834,KDXZREBVGAGZHS-UHFFFAOYSA-M
6842,IAKOZHOLGAGEJT-UHFFFAOYSA-N
6872,CXKWCBBOMKCUKX-UHFFFAOYSA-M
6885,CXJNNMFPXAHDPF-REOHCLBHSA-N
6904,IUBSYMUCCVWXPE-UHFFFAOYSA-N
6919,YPBATNHYBCGSSN-VWPFQQQWSA-N
6970,QLIIKPVHVRXHRI-CXSFZGCWSA-N
7091,PMFMJXPRNJUYMB-GWOFURMSSA-N
7207,CVBGNAKQQUWBQV-UHFFFAOYSA-N
7307,SECXISVLQFMRJM-UHFFFAOYSA-N
7438,ATHHXGZTWNVVOU-UHFFFAOYSA-N
7454,NETZHAKZCGBWSS-CEDHKZHLSA-N
7478,AMKVXSZCKVJAGH-UHFFFAOYSA-N
7508,PGBHMTALBVVCIT-VCIWKGPPSA-N
7542,PCJGZPGTCUMMOT-ISULXFBGSA-N
7570,QIGJYVCQYDKYDW-NSYYTRPSSA-N
7847,YTBDPHYVGACIPC-UHFFFAOYSA-N
7916,GHOKWGTUZJEAQD-UHFFFAOYSA-N
7959,VVNCNSJFMMFHPL-VKHMYHEASA-N
7963,IYNDLOXRXUOGIU-LQDWTQKMSA-M
8080,DHHVAGZRUROJKS-UHFFFAOYSA-N
8094,OCYSGIYOVXAGKQ-FVGYRXGTSA-N
8102,YBYRMVIVWMBXKQ-UHFFFAOYSA-N
8191,YVLPJIGOMTXXLP-KEKOKYSKSA-N
8207,QCHFTSOMWOSFHM-WPRPVWTQSA-N
8232,IVBHGBMCVLDMKU-GXNBUGAJSA-N
8337,RKCAIXNGYQCCAL-CEVVSZFKSA-N
8364,IENZQIKPVFGBNW-UHFFFAOYSA-N
8429,ABTXGJFUQRCPNH-UHFFFAOYSA-N
